date,BTC/USDT,ETH/USDT,LTC/USDT,NEO/USDT
2018-07-01,6356.81,452.1,79.95,31.273
2018-07-02,6615.29,476.25,85.36,36.159
2018-07-03,6513.86,461.82,85.09,35.92
2018-07-04,6586.98,467.38,85.28,40.56
2018-07-05,6529.2,467.87,83.33,40.217
2018-07-06,6609.78,470.47,83.1,37.518
2018-07-07,6756.98,485.57,84.79,38.72
2018-07-08,6712.1,486.77,82.22,39.045
2018-07-09,6662.12,471.71,80.46,36.435
2018-07-10,6296.91,432.48,75.81,33.239
2018-07-11,6378.07,444.99,78.18,33.814
2018-07-12,6250.57,431.14,76.79,32.123
2018-07-13,6214.57,432.46,76.53,33.123
2018-07-14,6251.99,433.19,76.18,32.415
2018-07-15,6353.01,449.78,78.54,33.564
2018-07-16,6723.35,478.49,83.49,36.85
2018-07-17,7317.44,498.76,89.06,39.221
2018-07-18,7381.9,479.41,86.21,37.639
2018-07-19,7466.21,468.57,86.0,35.984
2018-07-20,7337.53,449.04,81.87,33.138
2018-07-21,7398.78,460.23,83.44,34.148
2018-07-22,7394.79,457.47,82.21,33.129
2018-07-23,7721.01,450.05,81.38,32.11
2018-07-24,8397.24,479.28,89.12,33.734
2018-07-25,8175.64,472.1,86.38,34.144
2018-07-26,7920.0,462.64,83.37,33.038
2018-07-27,8188.57,470.09,84.39,33.447
2018-07-28,8225.04,469.29,84.07,33.916
2018-07-29,8211.0,466.4,83.85,33.395
2018-07-30,8173.92,456.23,82.18,31.913
2018-07-31,7730.93,432.22,78.69,29.729
2018-08-01,7604.58,420.41,77.53,29.664
2018-08-02,7525.71,410.62,76.11,28.17
2018-08-03,7418.78,417.52,77.7,27.899
2018-08-04,7009.84,407.21,73.13,26.729
2018-08-05,7024.19,408.79,74.61,27.576
2018-08-06,6934.82,405.28,73.62,26.064
2018-08-07,6720.06,378.21,67.35,25.098
2018-08-08,6285.0,355.48,62.13,21.74
2018-08-09,6529.79,363.3,62.89,22.296
2018-08-10,6144.01,331.81,59.16,19.759
2018-08-11,6232.35,317.69,57.6,18.342
2018-08-12,6308.33,317.89,59.32,18.497
2018-08-13,6246.35,283.81,56.44,15.672
2018-08-14,6188.08,278.41,54.24,16.006
2018-08-15,6267.16,281.12,54.32,15.576
2018-08-16,6311.75,287.17,55.29,15.996
2018-08-17,6584.49,317.51,61.75,20.67
2018-08-18,6387.96,294.11,57.04,18.731
2018-08-19,6477.53,299.42,57.67,19.505
2018-08-20,6254.84,270.51,53.39,17.087
2018-08-21,6480.0,281.21,56.42,17.838
2018-08-22,6360.89,270.8,55.14,16.375
2018-08-23,6525.01,275.99,57.29,17.77
2018-08-24,6681.64,281.19,57.82,17.718
2018-08-25,6733.64,277.55,57.89,17.595
2018-08-26,6700.0,274.29,56.99,17.513
2018-08-27,6908.64,287.71,60.61,20.74
2018-08-28,7076.11,295.44,63.13,21.267
2018-08-29,7031.22,288.4,61.41,19.746
2018-08-30,6984.84,283.89,60.23,19.56
2018-08-31,7011.21,281.41,62.04,20.03
2018-09-01,7200.01,295.71,66.49,22.567
2018-09-02,7302.01,295.41,66.21,22.116
2018-09-03,7263.02,289.09,65.44,23.005
2018-09-04,7359.06,285.3,67.6,24.191
2018-09-05,6700.0,228.53,57.82,19.298
2018-09-06,6516.01,229.7,57.61,20.456
2018-09-07,6395.54,215.22,55.66,19.518
2018-09-08,6185.05,196.71,53.07,17.901
2018-09-09,6250.81,195.81,54.74,18.42
2018-09-10,6312.0,197.15,54.34,18.494
2018-09-11,6294.91,185.18,52.04,17.73
2018-09-12,6338.62,183.12,51.69,17.655
2018-09-13,6487.38,210.68,54.44,18.243
2018-09-14,6476.63,208.82,56.24,17.735
2018-09-15,6514.96,221.29,56.22,17.967
2018-09-16,6505.0,220.17,56.75,17.96
2018-09-17,6248.69,196.16,52.07,16.491
2018-09-18,6336.45,208.17,53.96,16.863
2018-09-19,6391.89,209.79,54.27,17.093
2018-09-20,6492.0,224.0,56.53,18.186
2018-09-21,6759.02,247.73,60.83,19.846
2018-09-22,6723.05,241.01,60.65,18.84
2018-09-23,6708.0,244.5,61.38,19.562
2018-09-24,6581.39,228.06,58.01,18.448
2018-09-25,6447.54,219.62,57.61,18.209
2018-09-26,6465.12,214.42,57.18,17.814
