date,BTC/USDT,ETH/USDT,LTC/USDT,NEO/USDT
2019-01-01,3797.14,139.1,31.48,7.756
2019-01-02,3858.56,152.01,32.67,7.899
2019-01-03,3766.78,146.3,31.39,7.522
2019-01-04,3792.01,151.97,31.76,7.455
2019-01-05,3770.96,152.83,34.33,7.722
2019-01-06,3987.6,153.86,38.3,8.463
2019-01-07,3975.45,149.34,37.35,8.36
2019-01-08,3955.13,147.6,38.7,9.006
2019-01-09,3966.65,148.1,38.17,8.999
2019-01-10,3585.88,124.95,32.81,7.775
2019-01-11,3601.31,124.65,31.49,7.735
2019-01-12,3583.13,123.35,31.65,7.563
2019-01-13,3476.81,114.16,29.59,6.984
2019-01-14,3626.09,126.95,31.71,7.812
2019-01-15,3553.06,118.95,30.75,7.418
2019-01-16,3591.84,121.48,31.29,7.551
2019-01-17,3616.21,121.54,31.4,7.664
2019-01-18,3594.87,119.17,30.77,7.505
2019-01-19,3665.3,122.6,32.0,7.901
2019-01-20,3539.28,117.47,30.64,7.452
2019-01-21,3526.9,115.63,30.82,7.41
2019-01-22,3570.93,117.81,31.41,7.6
2019-01-23,3552.82,116.44,31.69,7.461
2019-01-24,3569.62,116.39,32.51,7.642
2019-01-25,3565.29,115.11,32.69,7.493
2019-01-26,3565.25,115.34,32.8,7.438
2019-01-27,3550.84,112.05,32.21,7.336
2019-01-28,3434.15,105.5,30.94,6.921
2019-01-29,3411.04,104.45,30.81,6.979
2019-01-30,3458.18,108.29,31.68,7.048
2019-01-31,3434.1,106.44,31.41,6.861
2019-02-01,3462.07,106.73,32.65,6.967
2019-02-02,3504.77,110.42,34.59,7.237
2019-02-03,3458.11,107.36,33.44,7.016
2019-02-04,3463.22,107.68,34.09,7.051
2019-02-05,3471.59,107.27,34.34,6.991
2019-02-06,3405.37,104.5,32.79,6.869
2019-02-07,3398.4,104.48,33.24,6.933
2019-02-08,3659.04,119.25,42.99,7.54
2019-02-09,3665.18,119.19,44.68,7.662
2019-02-10,3680.06,125.12,46.79,7.967
