date,BTC/USDT,ETH/USDT,LTC/USDT,NEO/USDT
2019-07-01,10624.93,295.07,123.17,16.956
2019-07-02,10842.85,291.48,118.77,17.937
2019-07-03,11940.0,301.14,121.36,17.904
2019-07-04,11145.67,282.73,119.61,17.011
2019-07-05,10970.73,287.47,118.35,17.029
2019-07-06,11256.49,288.29,118.31,16.853
2019-07-07,11406.24,304.72,119.48,17.188
2019-07-08,12238.6,311.97,122.92,17.524
2019-07-09,12543.41,307.46,119.24,17.245
2019-07-10,12108.37,289.23,108.31,16.195
2019-07-11,11342.89,268.63,102.98,14.645
2019-07-12,11757.22,274.62,104.86,15.322
2019-07-13,11355.76,268.79,101.03,14.156
2019-07-14,10174.18,225.85,89.66,12.021
2019-07-15,10838.72,228.2,90.43,12.281
2019-07-16,9439.59,198.88,79.61,10.202
2019-07-17,9667.92,210.81,89.95,10.764
2019-07-18,10627.16,225.73,101.16,13.01
2019-07-19,10504.29,220.73,98.23,12.961
2019-07-20,10740.23,228.2,100.25,13.322
2019-07-21,10589.45,225.38,99.7,12.954
2019-07-22,10340.31,217.51,95.31,12.07
2019-07-23,9864.91,212.48,90.15,11.228
2019-07-24,9763.28,216.31,94.5,11.765
2019-07-25,9879.87,219.14,93.22,11.935
2019-07-26,9824.0,218.81,94.06,11.962
2019-07-27,9476.52,207.3,88.79,11.37
2019-07-28,9541.54,211.62,90.0,11.238
2019-07-29,9507.64,210.89,90.33,11.268
2019-07-30,9574.21,209.58,90.15,11.248
2019-07-31,10080.53,218.42,98.76,11.727
2019-08-01,10374.99,216.84,98.64,11.862
2019-08-02,10523.75,217.61,94.76,11.66
2019-08-03,10816.86,222.14,94.17,12.121
2019-08-04,10929.23,221.79,92.64,11.88
2019-08-05,11828.8,233.54,96.56,12.004
2019-08-06,11481.69,226.28,92.99,11.355
2019-08-07,11975.03,226.1,90.59,11.31
2019-08-08,11999.77,221.39,90.15,10.887
2019-08-09,11879.99,210.53,84.24,10.367
2019-08-10,11309.31,206.48,85.46,10.596
2019-08-11,11549.97,216.42,89.93,11.1
2019-08-12,11396.08,211.41,85.79,10.691
2019-08-13,10892.71,209.3,84.88,10.494
2019-08-14,10050.37,187.1,75.9,9.453
2019-08-15,10293.93,188.03,76.25,9.897
2019-08-16,10331.54,184.88,74.67,9.803
2019-08-17,10216.02,185.59,72.65,9.663
2019-08-18,10306.78,194.33,76.25,9.839
2019-08-19,10915.54,202.28,77.1,10.137
2019-08-20,10760.51,196.6,75.14,9.898
2019-08-21,10142.57,187.45,73.27,9.468
2019-08-22,10099.88,190.35,73.31,9.794
2019-08-23,10389.55,194.02,75.38,9.88
2019-08-24,10134.35,190.6,73.32,10.102
